event_id,flow_id,transaction_id,transaction_lifecycle_event,created_at,error_details_source,error_details_message,error_details_decline_type,error_details_decision_type,error_details_decline_reason,error_details_decline_reason_v2
99947909-d340-46b0-8e66-70c58bd9f04a,fb35e689-8a87-481b-b39b-5011fb02224b,08f5d16b-d450-4d97-8aa9-b18f887f8fd5,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.407973",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
ff4b9f3b-9892-4a79-a29d-da55c37e1c9d,62623a30-2e6a-4237-8be5-147fc4300a8b,b56fe48c-32ee-4c02-a9a9-5d941ad61a2a,,"2021-06-03 07:47:50.410088",,,,,,
bacb74b7-5e47-4b1f-92f6-fa6d4d9b4653,62623a30-2e6a-4237-8be5-147fc4300a8b,b56fe48c-32ee-4c02-a9a9-5d941ad61a2a,,"2021-06-03 07:47:50.414585",,,,,,
176707e1-4b20-48e1-a790-ae342ad1ad8a,62623a30-2e6a-4237-8be5-147fc4300a8b,b56fe48c-32ee-4c02-a9a9-5d941ad61a2a,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.420128",,,,,,
841e8710-bea5-4b7f-85e3-9dcd74478b0c,9729d1f0-bb17-498c-a287-4d16792535dc,cc5a721b-12ba-4c0d-9fbd-4caf18fa56f9,,"2021-06-03 07:47:50.431173",,,,,,
3ffd3fc6-75a5-4059-abd1-01b7b56a33a1,62623a30-2e6a-4237-8be5-147fc4300a8b,b56fe48c-32ee-4c02-a9a9-5d941ad61a2a,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.433685",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
c1ede097-583e-4e28-87b3-732f21dc8c3a,9729d1f0-bb17-498c-a287-4d16792535dc,cc5a721b-12ba-4c0d-9fbd-4caf18fa56f9,,"2021-06-03 07:47:50.439696",,,,,,
500e85a2-ace0-4bdc-b0f8-a56fb12b3818,9729d1f0-bb17-498c-a287-4d16792535dc,cc5a721b-12ba-4c0d-9fbd-4caf18fa56f9,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.448805",,,,,,
6e23a50c-850d-45a5-a074-a76ba612fabc,ad31c3b7-6102-4b2e-9465-66d2587c935b,f882b460-1ae9-460c-a4d5-9e24ec9bc99e,,"2021-06-03 07:47:50.457731",,,,,,
776240ac-6357-4d8e-a1fa-415ddfcfc9bd,eb70d10e-c747-47b0-a5aa-91ebb0ca70b0,bb289cce-26f5-4181-8d42-261097844c65,,"2021-06-03 07:47:50.462205",,,,,,
374d9729-7b00-42ea-bac2-bfee28cf26f6,9729d1f0-bb17-498c-a287-4d16792535dc,cc5a721b-12ba-4c0d-9fbd-4caf18fa56f9,AUTHORIZATION_FAILED,"2021-06-03 07:47:50.463546",ADYEN,"HTTP Status Response - Unauthorized",,APPLICATION_ERROR,,
0b8854d0-8b44-4ace-8f92-c3e98f009d4d,ad31c3b7-6102-4b2e-9465-66d2587c935b,f882b460-1ae9-460c-a4d5-9e24ec9bc99e,,"2021-06-03 07:47:50.464721",,,,,,
512ba5d9-94e9-4d96-890a-b71f5e5f963e,ad31c3b7-6102-4b2e-9465-66d2587c935b,f882b460-1ae9-460c-a4d5-9e24ec9bc99e,AUTHORIZATION_SUBMITTED,"2021-06-03 07:47:50.47391",,,,,,
bbe2c068-d085-4084-a716-3a185b43dc8b,eda3ef29-9946-4248-b007-c7633835bb5e,6e31f605-9cf9-4142-a2e2-26b4c2b2cada,,"2021-06-03 07:47:50.482918",,,,,,
